16.0	29.0	41.0	0.0	35.0	15.0	22.0	48.0	5.0	24.0	54.0	56.0	28.0	11.0	17.0	13.0	6.0	50.0	53.0	42.0	44.0	57.0	59.0	49.0	25.0	23.0	18.0	51.0	8.0	19.0	10.0	52.0	2.0	47.0	45.0	12.0	9.0	46.0	4.0	43.0	37.0	3.0	1.0	33.0	7.0	31.0	21.0	26.0	55.0	38.0	27.0	30.0	40.0	14.0	20.0	32.0	34.0	36.0	39.0	58.0	
16.0	11.0	35.0	41.0	24.0	54.0	20.0	15.0	44.0	56.0	53.0	28.0	5.0	57.0	14.0	48.0	8.0	42.0	50.0	22.0	18.0	49.0	36.0	12.0	0.0	32.0	39.0	47.0	23.0	33.0	2.0	19.0	25.0	43.0	1.0	37.0	46.0	38.0	3.0	7.0	21.0	55.0	30.0	58.0	27.0	40.0	26.0	34.0	4.0	6.0	9.0	10.0	13.0	17.0	29.0	31.0	45.0	51.0	52.0	59.0	
41.0	35.0	24.0	15.0	28.0	11.0	56.0	20.0	54.0	5.0	6.0	14.0	44.0	57.0	22.0	12.0	36.0	48.0	53.0	59.0	18.0	49.0	32.0	39.0	51.0	45.0	43.0	37.0	25.0	33.0	4.0	19.0	2.0	52.0	46.0	1.0	38.0	3.0	31.0	7.0	30.0	58.0	26.0	34.0	0.0	8.0	9.0	10.0	13.0	16.0	17.0	21.0	23.0	27.0	29.0	40.0	42.0	47.0	50.0	55.0	
41.0	16.0	29.0	15.0	35.0	5.0	24.0	20.0	17.0	56.0	28.0	6.0	32.0	14.0	11.0	4.0	57.0	13.0	0.0	50.0	48.0	22.0	42.0	44.0	53.0	8.0	36.0	18.0	59.0	12.0	51.0	3.0	19.0	31.0	46.0	43.0	52.0	37.0	47.0	45.0	2.0	9.0	1.0	55.0	21.0	27.0	26.0	30.0	34.0	40.0	7.0	10.0	23.0	25.0	33.0	38.0	39.0	49.0	54.0	58.0	
29.0	16.0	41.0	35.0	24.0	28.0	54.0	56.0	20.0	17.0	6.0	14.0	57.0	13.0	53.0	48.0	18.0	22.0	10.0	32.0	8.0	43.0	36.0	49.0	51.0	45.0	12.0	0.0	4.0	23.0	39.0	2.0	47.0	19.0	52.0	46.0	9.0	25.0	38.0	21.0	55.0	31.0	3.0	7.0	58.0	30.0	27.0	40.0	34.0	1.0	5.0	11.0	15.0	26.0	33.0	37.0	42.0	44.0	50.0	59.0	
16.0	29.0	35.0	15.0	24.0	56.0	20.0	54.0	11.0	17.0	6.0	5.0	57.0	12.0	50.0	13.0	18.0	59.0	22.0	44.0	48.0	49.0	36.0	32.0	45.0	52.0	0.0	43.0	37.0	2.0	1.0	39.0	47.0	25.0	4.0	46.0	33.0	9.0	31.0	55.0	3.0	38.0	21.0	7.0	30.0	58.0	27.0	26.0	40.0	34.0	8.0	10.0	14.0	19.0	23.0	28.0	41.0	42.0	51.0	53.0	
53.0	11.0	29.0	35.0	5.0	16.0	6.0	44.0	41.0	13.0	15.0	57.0	23.0	56.0	24.0	8.0	32.0	28.0	0.0	54.0	20.0	17.0	14.0	12.0	48.0	39.0	22.0	49.0	36.0	50.0	18.0	51.0	7.0	47.0	4.0	25.0	19.0	2.0	37.0	43.0	52.0	46.0	9.0	1.0	33.0	58.0	30.0	38.0	21.0	55.0	27.0	34.0	26.0	40.0	3.0	10.0	31.0	42.0	45.0	59.0	
41.0	16.0	5.0	35.0	28.0	6.0	11.0	17.0	57.0	14.0	54.0	23.0	44.0	48.0	50.0	10.0	53.0	36.0	42.0	0.0	18.0	49.0	43.0	37.0	45.0	51.0	19.0	4.0	47.0	33.0	52.0	2.0	46.0	9.0	38.0	30.0	27.0	26.0	40.0	1.0	3.0	7.0	8.0	12.0	13.0	15.0	20.0	21.0	22.0	24.0	25.0	29.0	31.0	32.0	34.0	39.0	55.0	56.0	58.0	59.0	
24.0	41.0	16.0	28.0	35.0	17.0	5.0	29.0	10.0	32.0	11.0	20.0	54.0	14.0	22.0	18.0	23.0	50.0	36.0	43.0	42.0	37.0	38.0	48.0	44.0	59.0	53.0	47.0	46.0	45.0	0.0	13.0	1.0	39.0	31.0	2.0	51.0	19.0	25.0	9.0	55.0	21.0	3.0	52.0	7.0	30.0	58.0	26.0	40.0	4.0	6.0	8.0	12.0	15.0	27.0	33.0	34.0	49.0	56.0	57.0	
16.0	29.0	35.0	41.0	15.0	24.0	5.0	56.0	28.0	11.0	57.0	20.0	54.0	14.0	32.0	36.0	59.0	13.0	10.0	48.0	49.0	12.0	39.0	50.0	45.0	1.0	37.0	51.0	47.0	25.0	19.0	4.0	52.0	46.0	9.0	31.0	33.0	7.0	58.0	38.0	21.0	55.0	30.0	34.0	0.0	2.0	3.0	6.0	8.0	17.0	18.0	22.0	23.0	26.0	27.0	40.0	42.0	43.0	44.0	53.0	
